IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160013888,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01-06-16 00:00,09:46,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-94.42930673,39.73074292,"(39.7307429169559, -94.429306728396)",1.60014E+13
160013913,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,01-06-16 00:00,06:00,INGLESIDE,NONE,100 Block of HIGHLAND AV,-94.42206718,39.73936236,"(39.7393623605213, -94.422067184939)",1.60014E+13
160013913,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,01-06-16 00:00,06:00,INGLESIDE,NONE,100 Block of HIGHLAND AV,-94.42206718,39.73936236,"(39.7393623605213, -94.422067184939)",1.60014E+13
160014369,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,01-05-16 00:00,01:00,TENDERLOIN,NONE,400 Block of OFARRELL ST,-94.41174739,39.78599883,"(39.7859988323998, -94.411747391924)",1.60014E+13
160014395,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01-06-16 00:00,12:13,MISSION,"ARREST, BOOKED",17TH ST / HOFF ST,-94.42043472,39.76339581,"(39.7633958058059, -94.420434724553)",1.60014E+13
160014381,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,01-01-16 00:00,08:00,TENDERLOIN,NONE,300 Block of ELLIS ST,-94.41198764,39.78502266,"(39.7850226622786, -94.411987643595)",1.60014E+13
160014397,OTHER OFFENSES,FALSE PERSONATION,Monday,01-04-16 00:00,15:10,RICHMOND,NONE,700 Block of 40TH AV,-94.50038043,39.77462065,"(39.7746206491065, -94.500380427915)",1.60014E+13
160014836,ROBBERY,ROBBERY OF A CHAIN STORE WITH A KNIFE,Wednesday,01-06-16 00:00,14:23,RICHMOND,NONE,700 Block of CABRILLO ST,-94.46655878,39.77519183,"(39.7751918267217, -94.466558780683)",1.60015E+13
160014858,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,01-06-16 00:00,06:00,TARAVAL,NONE,2000 Block of 29TH AV,-94.48692596,39.74908417,"(39.7490841729028, -94.486925960114)",1.60015E+13
160015163,NON-CRIMINAL,AIDED CASE,Wednesday,01-06-16 00:00,16:09,MISSION,NONE,14TH ST / FOLSOM ST,-94.41561634,39.76853601,"(39.7685360123583, -94.41561633832)",1.60015E+13
160015276,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Tuesday,01-05-16 00:00,20:00,PARK,NONE,1000 Block of COLE ST,-94.44975165,39.76442977,"(39.7644297714074, -94.449751652563)",1.60015E+13
160015276,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,01-05-16 00:00,20:00,PARK,NONE,1000 Block of COLE ST,-94.44975165,39.76442977,"(39.7644297714074, -94.449751652563)",1.60015E+13
